n_arm,σ_obs,switch_cost,sample_cost,prior_bias,prop_seen,rt,mean_fixation_duration,best_seen_chosen,last_seen_chosen,n_refix
36.0,0.0,-2.0,0.0,-0.4,0.3564277777777778,4519.29,209.18644123092352,0.5148,0.8002,7.7564
9.0,0.0,-1.0,0.0,-0.4,0.8152444444444445,4122.03,294.4103872889578,0.5733,0.803,6.2013
16.0,0.0,-1.0,0.0,-0.4,0.61014375,3670.2,244.6330550547012,0.5086,0.8641,4.9868
25.0,0.0,-1.0,0.0,-0.4,0.4682839999999999,4134.35,244.67946645153853,0.5091,0.8927,4.9178
36.0,0.0,-1.0,0.0,-0.4,0.3466,4369.36,218.45827286189348,0.5233,0.8002,6.6384
9.0,0.0,1.0,0.0,-0.4,0.7325333333333335,3717.02,389.71101016780835,0.596,0.8513,2.7987
16.0,0.0,1.0,0.0,-0.4,0.55910625,3780.78,318.780689691764,0.5484,0.9014,2.8183
25.0,0.0,1.0,0.0,-0.4,0.4260799999999999,4071.31,293.67633546746157,0.5281,0.9174,3.0304
36.0,0.0,1.0,0.0,-0.4,0.3222694444444445,4030.83,261.16622249758586,0.5217,0.9264,3.462
9.0,0.0,2.0,0.0,-0.4,0.6318222222222223,3395.17,476.80785690103266,0.6252,0.8911,1.4208
16.0,0.0,2.0,0.0,-0.4,0.5401875,3607.8,301.8070762456358,0.5524,0.8721,3.0245
25.0,0.0,2.0,0.0,-0.4,0.403408,4127.03,335.07199442951696,0.5535,0.931,2.1875
36.0,0.0,2.0,0.0,-0.4,0.31367500000000004,4326.66,307.18906719520595,0.5334,0.9406,2.6122
9.0,0.0,3.0,0.0,-0.4,0.6771888888888891,3341.57,427.05727197480314,0.6039,0.8828,1.6686
16.0,0.0,3.0,0.0,-0.4,0.51211875,3668.78,361.7004787825116,0.5714,0.9253,1.8945
25.0,0.0,3.0,0.0,-0.4,0.36424,3987.8,373.29261217681307,0.5659,0.9437,1.5574
36.0,0.0,3.0,0.0,-0.4,0.2944861111111111,3931.17,301.3222854846971,0.53,0.9489,2.2675
9.0,0.0,0.0,-3.0,-0.4,0.8485000000000001,7178.65,469.655392550251,0.6515,0.7445,7.1587
16.0,0.0,0.0,-3.0,-0.4,0.71608125,7223.61,371.9208635639983,0.5693,0.8073,7.4526
25.0,0.0,0.0,-3.0,-0.4,0.5607719999999999,6972.75,326.30784568167496,0.5534,0.8554,6.8778
36.0,0.0,0.0,-3.0,-0.4,0.4526333333333334,7497.04,306.8311929183959,0.5488,0.8542,7.5152
9.0,0.0,0.0,-2.0,-0.4,0.7911444444444446,4491.28,369.7235779094414,0.6003,0.8165,4.6983
16.0,0.0,0.0,-2.0,-0.4,0.65683125,5319.61,317.38607905207806,0.5455,0.8451,5.7773
25.0,0.0,0.0,-2.0,-0.4,0.5152080000000001,5646.31,302.239351502118,0.5411,0.8843,5.4719
36.0,0.0,0.0,-2.0,-0.4,0.40684444444444445,6076.31,281.3184886422422,0.5336,0.8815,6.2782
9.0,0.0,0.0,-1.0,-0.4,0.7382666666666668,3042.38,304.7280391202858,0.5567,0.8457,3.2218
16.0,0.0,0.0,-1.0,-0.4,0.61075625,4091.3,287.9773070441548,0.5336,0.8741,4.2509
25.0,0.0,0.0,-1.0,-0.4,0.4744039999999999,4642.95,272.9275006197851,0.5309,0.8908,4.7786
36.0,0.0,0.0,-1.0,-0.4,0.37566944444444444,5125.53,264.17906894985276,0.5196,0.8953,5.3135
9.0,0.0,0.0,1.0,-0.4,0.7215888888888891,2527.86,259.6483055103525,0.5463,0.8566,3.0797
