     ,subject,trial,fix_num,event_duration,leftrating,rightrating,rt     ,choice,roi,computed_rt,num_fixations,rev_fix_num,temp     ,corr_fix_duration
1556 ,17.0   ,62   ,3.0    ,159.0         ,0.0       ,0.0        ,1169.0 ,1.0   ,1.0,1176.0     ,3.0          ,1.0        ,308.0    ,159.0            
1557 ,17.0   ,63   ,1.0    ,517.0         ,3.0       ,2.0        ,1386.0 ,1.0   ,1.0,1395.0     ,2.0          ,2.0        ,373.38   ,517.0            
1558 ,17.0   ,63   ,2.0    ,658.0         ,3.0       ,2.0        ,1386.0 ,1.0   ,2.0,1395.0     ,2.0          ,1.0        ,545.48456,658.0            
1559 ,17.0   ,64   ,1.0    ,299.0         ,1.0       ,0.0        ,1132.0 ,1.0   ,1.0,1135.0     ,3.0          ,3.0        ,373.38   ,299.0            
1560 ,17.0   ,64   ,2.0    ,439.0         ,1.0       ,0.0        ,1132.0 ,1.0   ,2.0,1135.0     ,3.0          ,2.0        ,545.48456,439.0            
1561 ,17.0   ,64   ,3.0    ,158.0         ,1.0       ,0.0        ,1132.0 ,1.0   ,1.0,1135.0     ,3.0          ,1.0        ,308.0    ,158.0            
1562 ,17.0   ,65   ,1.0    ,298.0         ,0.0       ,0.0        ,1220.0 ,1.0   ,1.0,1233.0     ,3.0          ,3.0        ,373.38   ,298.0            
1563 ,17.0   ,65   ,2.0    ,438.0         ,0.0       ,0.0        ,1220.0 ,1.0   ,2.0,1233.0     ,3.0          ,2.0        ,545.48456,438.0            
1564 ,17.0   ,65   ,3.0    ,259.0         ,0.0       ,0.0        ,1220.0 ,1.0   ,1.0,1233.0     ,3.0          ,1.0        ,308.0    ,259.0            
1565 ,17.0   ,66   ,1.0    ,259.0         ,3.0       ,1.0        ,1025.0 ,1.0   ,1.0,1036.0     ,2.0          ,2.0        ,373.38   ,259.0            
1566 ,17.0   ,66   ,2.0    ,478.0         ,3.0       ,1.0        ,1025.0 ,1.0   ,2.0,1036.0     ,2.0          ,1.0        ,545.48456,478.0            
1567 ,17.0   ,67   ,1.0    ,219.0         ,0.0       ,3.0        ,1188.0 ,0.0   ,1.0,1195.0     ,2.0          ,2.0        ,373.38   ,219.0            
1568 ,17.0   ,67   ,2.0    ,658.0         ,0.0       ,3.0        ,1188.0 ,0.0   ,2.0,1195.0     ,2.0          ,1.0        ,545.48456,658.0            
1569 ,17.0   ,68   ,1.0    ,219.0         ,1.0       ,0.0        ,1282.0 ,1.0   ,1.0,1295.0     ,3.0          ,3.0        ,373.38   ,219.0            
1570 ,17.0   ,68   ,2.0    ,480.0         ,1.0       ,0.0        ,1282.0 ,1.0   ,2.0,1295.0     ,3.0          ,2.0        ,545.48456,480.0            
1571 ,17.0   ,68   ,3.0    ,377.0         ,1.0       ,0.0        ,1282.0 ,1.0   ,1.0,1295.0     ,3.0          ,1.0        ,308.0    ,377.0            
1572 ,17.0   ,69   ,1.0    ,438.0         ,2.0       ,0.0        ,1232.0 ,0.0   ,2.0,1236.0     ,2.0          ,2.0        ,373.38   ,438.0            
1573 ,17.0   ,69   ,2.0    ,618.0         ,2.0       ,0.0        ,1232.0 ,0.0   ,1.0,1236.0     ,2.0          ,1.0        ,545.48456,618.0            
1574 ,17.0   ,70   ,1.0    ,279.0         ,2.0       ,3.0        ,1224.0 ,1.0   ,1.0,1235.0     ,3.0          ,3.0        ,373.38   ,279.0            
1575 ,17.0   ,70   ,2.0    ,677.0         ,2.0       ,3.0        ,1224.0 ,1.0   ,2.0,1235.0     ,3.0          ,2.0        ,545.48456,677.0            
1576 ,17.0   ,70   ,3.0    ,60.0          ,2.0       ,3.0        ,1224.0 ,1.0   ,1.0,1235.0     ,3.0          ,1.0        ,308.0    ,60.0             
1577 ,17.0   ,71   ,1.0    ,219.0         ,0.0       ,5.0        ,819.0  ,0.0   ,1.0,817.0      ,2.0          ,2.0        ,373.38   ,219.0            
1578 ,17.0   ,71   ,2.0    ,379.0         ,0.0       ,5.0        ,819.0  ,0.0   ,2.0,817.0      ,2.0          ,1.0        ,545.48456,379.0            
1579 ,17.0   ,72   ,1.0    ,217.0         ,0.0       ,3.0        ,1351.0 ,0.0   ,2.0,1355.0     ,3.0          ,3.0        ,373.38   ,217.0            
1580 ,17.0   ,72   ,2.0    ,538.0         ,0.0       ,3.0        ,1351.0 ,0.0   ,1.0,1355.0     ,3.0          ,2.0        ,545.48456,538.0            
1581 ,17.0   ,72   ,3.0    ,199.0         ,0.0       ,3.0        ,1351.0 ,0.0   ,2.0,1355.0     ,3.0          ,1.0        ,308.0    ,199.0            
1582 ,17.0   ,73   ,1.0    ,379.0         ,3.0       ,0.0        ,1347.0 ,1.0   ,1.0,1354.0     ,2.0          ,2.0        ,373.38   ,379.0            
1583 ,17.0   ,73   ,2.0    ,757.0         ,3.0       ,0.0        ,1347.0 ,1.0   ,2.0,1354.0     ,2.0          ,1.0        ,545.48456,757.0            
1584 ,17.0   ,74   ,1.0    ,200.0         ,0.0       ,2.0        ,886.0  ,0.0   ,1.0,897.0      ,3.0          ,3.0        ,373.38   ,200.0            
1585 ,17.0   ,74   ,2.0    ,238.0         ,0.0       ,2.0        ,886.0  ,0.0   ,2.0,897.0      ,3.0          ,2.0        ,545.48456,238.0            
1586 ,17.0   ,74   ,3.0    ,220.0         ,0.0       ,2.0        ,886.0  ,0.0   ,1.0,897.0      ,3.0          ,1.0        ,308.0    ,220.0            
1587 ,17.0   ,75   ,1.0    ,199.0         ,0.0       ,0.0        ,1291.0 ,0.0   ,1.0,1296.0     ,3.0          ,3.0        ,373.38   ,199.0            
